number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_input_chunk_length,params_lr,params_n_rnn_layers,state
40,0.15033122897148132,2025-05-14 17:26:51.101248,2025-05-14 17:27:46.220067,0 days 00:00:55.118819,16.0,0.1,80.0,,0.001,1.0,COMPLETE
41,0.14875756204128265,2025-05-14 17:27:46.246320,2025-05-14 17:28:22.936890,0 days 00:00:36.690570,32.0,0.2,80.0,,0.001,1.0,COMPLETE
42,0.16503207385540009,2025-05-14 17:28:22.962663,2025-05-14 17:29:51.233921,0 days 00:01:28.271258,32.0,0.4,80.0,,0.001,4.0,COMPLETE
43,0.15575850009918213,2025-05-14 17:29:51.259831,2025-05-14 17:30:44.106024,0 days 00:00:52.846193,32.0,0.4,80.0,,0.001,2.0,COMPLETE
44,0.15816311538219452,2025-05-14 17:30:44.132025,2025-05-14 17:32:07.862922,0 days 00:01:23.730897,32.0,0.2,240.0,,0.001,3.0,COMPLETE
45,0.25903767347335815,2025-05-14 17:32:07.889092,2025-05-14 17:32:39.051218,0 days 00:00:31.162126,128.0,0.4,160.0,,0.01,2.0,COMPLETE
46,0.14892210066318512,2025-05-14 17:32:39.077925,2025-05-14 17:33:20.574185,0 days 00:00:41.496260,32.0,0.1,20.0,,0.01,1.0,COMPLETE
47,0.14891760051250458,2025-05-14 17:33:20.600522,2025-05-14 17:33:56.223140,0 days 00:00:35.622618,64.0,0.2,80.0,,0.001,1.0,COMPLETE
48,0.15033122897148132,2025-05-14 17:33:56.250200,2025-05-14 17:34:51.670026,0 days 00:00:55.419826,16.0,0.2,80.0,,0.001,1.0,COMPLETE
49,0.14891760051250458,2025-05-14 17:34:51.696847,2025-05-14 17:35:27.045028,0 days 00:00:35.348181,64.0,0.2,80.0,,0.001,1.0,COMPLETE
50,0.1510762870311737,2025-05-14 17:35:27.071282,2025-05-14 17:37:05.255565,0 days 00:01:38.184283,128.0,0.3,160.0,,0.0001,1.0,COMPLETE
51,0.1592664122581482,2025-05-14 17:37:05.282058,2025-05-14 17:37:52.367003,0 days 00:00:47.084945,32.0,0.2,120.0,,0.001,4.0,COMPLETE
52,0.17646010220050812,2025-05-14 17:37:52.395018,2025-05-14 17:40:31.408496,0 days 00:02:39.013478,256.0,0.5,40.0,,0.0001,2.0,COMPLETE
53,0.16136284172534943,2025-05-14 17:40:31.436185,2025-05-14 17:41:32.120198,0 days 00:01:00.684013,64.0,0.4,80.0,,0.001,3.0,COMPLETE
54,0.15488718450069427,2025-05-14 17:41:32.147488,2025-05-14 17:44:58.053695,0 days 00:03:25.906207,128.0,0.1,10.0,,0.0001,1.0,COMPLETE
55,0.15366308391094208,2025-05-14 17:44:58.081062,2025-05-14 17:46:06.475533,0 days 00:01:08.394471,256.0,0.3,20.0,,0.001,1.0,COMPLETE
56,0.16430217027664185,2025-05-14 17:46:06.503472,2025-05-14 17:48:35.235804,0 days 00:02:28.732332,16.0,0.4,40.0,,0.001,4.0,COMPLETE
57,0.14891760051250458,2025-05-14 17:48:35.262513,2025-05-14 17:49:10.613414,0 days 00:00:35.350901,64.0,0.2,80.0,,0.001,1.0,COMPLETE
58,0.14891760051250458,2025-05-14 17:51:03.917201,2025-05-14 17:51:44.159287,0 days 00:00:40.242086,64.0,0.2,80.0,,0.001,1.0,COMPLETE
59,0.14891760051250458,2025-05-14 17:51:44.194391,2025-05-14 17:52:25.547410,0 days 00:00:41.353019,64.0,0.2,80.0,,0.001,1.0,COMPLETE
60,0.14891760051250458,2025-05-14 17:52:25.576453,2025-05-14 17:53:08.426295,0 days 00:00:42.849842,64.0,0.2,80.0,,0.001,1.0,COMPLETE
61,0.16853094100952148,2025-05-14 17:53:08.456370,2025-05-14 17:54:23.395816,0 days 00:01:14.939446,32.0,0.2,80.0,,0.01,3.0,COMPLETE
62,0.14994527399539948,2025-05-14 17:54:23.425963,2025-05-14 17:55:38.404853,0 days 00:01:14.978890,64.0,0.2,10.0,,0.001,1.0,COMPLETE
63,0.1564810574054718,2025-05-14 17:55:38.435881,2025-05-14 17:57:35.241095,0 days 00:01:56.805214,32.0,0.5,240.0,,0.0001,2.0,COMPLETE
64,0.14929211139678955,2025-05-14 17:57:35.269216,2025-05-14 17:58:34.046642,0 days 00:00:58.777426,256.0,0.4,80.0,,0.001,1.0,COMPLETE
65,0.14964556694030762,2025-05-14 17:58:34.074902,2025-05-14 17:59:09.242995,0 days 00:00:35.168093,64.0,0.2,120.0,,0.001,1.0,COMPLETE
66,0.14891760051250458,2025-05-14 17:59:09.271371,2025-05-14 17:59:51.881945,0 days 00:00:42.610574,64.0,0.3,80.0,,0.001,1.0,COMPLETE
67,0.14891760051250458,2025-05-14 17:59:51.909096,2025-05-14 18:00:30.512699,0 days 00:00:38.603603,64.0,0.2,80.0,,0.001,1.0,COMPLETE
68,0.14891760051250458,2025-05-14 18:00:30.539844,2025-05-14 18:01:07.130319,0 days 00:00:36.590475,64.0,0.2,80.0,,0.001,1.0,COMPLETE
69,0.14891760051250458,2025-05-14 18:01:07.157625,2025-05-14 18:01:44.510674,0 days 00:00:37.353049,64.0,0.2,80.0,,0.001,1.0,COMPLETE
70,0.14875756204128265,2025-05-14 18:01:44.537964,2025-05-14 18:02:24.086494,0 days 00:00:39.548530,32.0,0.4,80.0,,0.001,1.0,COMPLETE
71,0.14875756204128265,2025-05-14 18:02:24.113249,2025-05-14 18:03:01.950224,0 days 00:00:37.836975,32.0,0.4,80.0,,0.001,1.0,COMPLETE
72,0.1495082676410675,2025-05-14 18:03:01.980589,2025-05-14 18:03:49.913159,0 days 00:00:47.932570,32.0,0.4,40.0,,0.001,1.0,COMPLETE
73,0.17985306680202484,2025-05-14 18:03:49.942185,2025-05-14 18:05:09.379165,0 days 00:01:19.436980,32.0,0.4,80.0,,0.01,3.0,COMPLETE
74,0.16852837800979614,2025-05-14 18:05:09.406189,2025-05-14 18:07:04.535834,0 days 00:01:55.129645,32.0,0.4,160.0,,0.001,4.0,COMPLETE
75,0.14875756204128265,2025-05-14 18:07:04.590885,2025-05-14 18:07:48.262693,0 days 00:00:43.671808,32.0,0.4,80.0,,0.001,1.0,COMPLETE
76,0.1504722535610199,2025-05-14 18:07:48.293377,2025-05-14 18:08:54.748584,0 days 00:01:06.455207,32.0,0.4,20.0,,0.001,1.0,COMPLETE
77,0.14875756204128265,2025-05-14 18:08:54.777212,2025-05-14 18:09:31.853827,0 days 00:00:37.076615,32.0,0.4,80.0,,0.001,1.0,COMPLETE
78,0.14875756204128265,2025-05-14 18:09:31.879965,2025-05-14 18:10:08.757805,0 days 00:00:36.877840,32.0,0.4,80.0,,0.001,1.0,COMPLETE
79,0.14875756204128265,2025-05-14 18:10:08.785042,2025-05-14 18:10:45.591121,0 days 00:00:36.806079,32.0,0.4,80.0,,0.001,1.0,COMPLETE
80,0.14875756204128265,2025-05-14 18:10:45.619305,2025-05-14 18:11:21.796456,0 days 00:00:36.177151,32.0,0.4,80.0,,0.001,1.0,COMPLETE
81,0.14875756204128265,2025-05-14 18:11:21.823770,2025-05-14 18:11:58.337396,0 days 00:00:36.513626,32.0,0.4,80.0,,0.001,1.0,COMPLETE
82,0.14875756204128265,2025-05-14 18:11:58.363561,2025-05-14 18:12:35.057168,0 days 00:00:36.693607,32.0,0.4,80.0,,0.001,1.0,COMPLETE
83,0.14875756204128265,2025-05-14 18:12:35.083435,2025-05-14 18:13:11.369871,0 days 00:00:36.286436,32.0,0.4,80.0,,0.001,1.0,COMPLETE
84,0.15156042575836182,2025-05-14 18:13:11.399137,2025-05-14 18:15:20.131775,0 days 00:02:08.732638,32.0,0.4,240.0,,0.0001,2.0,COMPLETE
85,0.1493566930294037,2025-05-14 18:15:20.158922,2025-05-14 18:16:45.166194,0 days 00:01:25.007272,32.0,0.4,10.0,,0.001,1.0,COMPLETE
86,0.15037819743156433,2025-05-14 18:16:45.194839,2025-05-14 18:17:20.830636,0 days 00:00:35.635797,32.0,0.4,120.0,,0.01,1.0,COMPLETE
87,0.14875756204128265,2025-05-14 18:17:20.860841,2025-05-14 18:17:59.221672,0 days 00:00:38.360831,32.0,0.4,80.0,,0.001,1.0,COMPLETE
88,0.14875756204128265,2025-05-14 18:17:59.248523,2025-05-14 18:18:37.108133,0 days 00:00:37.859610,32.0,0.4,80.0,,0.001,1.0,COMPLETE
89,0.14875756204128265,2025-05-14 18:18:37.136928,2025-05-14 18:19:14.966568,0 days 00:00:37.829640,32.0,0.4,80.0,,0.001,1.0,COMPLETE
90,0.14875756204128265,2025-05-14 18:19:14.994995,2025-05-14 18:19:53.086566,0 days 00:00:38.091571,32.0,0.4,80.0,,0.001,1.0,COMPLETE
91,0.14875756204128265,2025-05-14 18:19:53.114618,2025-05-14 18:20:31.685909,0 days 00:00:38.571291,32.0,0.1,80.0,,0.001,1.0,COMPLETE
92,0.14875756204128265,2025-05-14 18:20:31.713354,2025-05-14 18:21:09.535972,0 days 00:00:37.822618,32.0,0.4,80.0,,0.001,1.0,COMPLETE
93,0.1642455756664276,2025-05-14 18:21:09.563076,2025-05-14 18:24:43.600477,0 days 00:03:34.037401,16.0,0.4,160.0,,0.001,4.0,COMPLETE
94,0.1670558899641037,2025-05-14 18:24:43.631993,2025-05-14 18:26:08.071237,0 days 00:01:24.439244,128.0,0.4,80.0,,0.001,3.0,COMPLETE
95,0.14875756204128265,2025-05-14 18:26:08.105475,2025-05-14 18:26:50.186939,0 days 00:00:42.081464,32.0,0.5,80.0,,0.001,1.0,COMPLETE
96,0.15342247486114502,2025-05-14 18:26:50.219486,2025-05-14 18:28:37.283895,0 days 00:01:47.064409,32.0,0.4,20.0,,0.0001,1.0,COMPLETE
97,0.14875756204128265,2025-05-14 18:28:37.314254,2025-05-14 18:29:17.128350,0 days 00:00:39.814096,32.0,0.4,80.0,,0.001,1.0,COMPLETE
