number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_n_rnn_layers,state
38,0.14773444831371307,2025-05-15 11:31:16.756893,2025-05-15 11:34:23.439564,0 days 00:03:06.682671,16.0,0.5,160.0,0.001,1.0,COMPLETE
39,0.1580188125371933,2025-05-15 11:34:23.489779,2025-05-15 11:36:17.017708,0 days 00:01:53.527929,256.0,0.4,160.0,0.001,2.0,COMPLETE
40,0.15037818253040314,2025-05-15 11:36:17.065229,2025-05-15 11:38:21.283665,0 days 00:02:04.218436,16.0,0.2,240.0,0.01,1.0,COMPLETE
41,0.14958728849887848,2025-05-15 11:38:21.324050,2025-05-15 11:43:20.764977,0 days 00:04:59.440927,16.0,0.1,160.0,0.0001,3.0,COMPLETE
42,0.14773444831371307,2025-05-15 11:43:20.803761,2025-05-15 11:46:03.297901,0 days 00:02:42.494140,16.0,0.3,160.0,0.001,1.0,COMPLETE
43,0.1635933369398117,2025-05-15 11:46:03.346372,2025-05-15 11:48:09.624072,0 days 00:02:06.277700,32.0,0.3,240.0,0.01,2.0,COMPLETE
44,0.14773444831371307,2025-05-15 11:48:09.678797,2025-05-15 11:51:02.531301,0 days 00:02:52.852504,16.0,0.1,160.0,0.001,1.0,COMPLETE
45,0.14773444831371307,2025-05-15 11:51:02.587125,2025-05-15 11:54:09.688214,0 days 00:03:07.101089,16.0,0.1,160.0,0.001,1.0,COMPLETE
46,0.14773444831371307,2025-05-15 11:54:09.731693,2025-05-15 11:56:33.017475,0 days 00:02:23.285782,16.0,0.1,160.0,0.001,1.0,COMPLETE
47,0.15168774127960205,2025-05-15 11:56:33.048574,2025-05-15 11:57:25.709663,0 days 00:00:52.661089,256.0,0.1,120.0,0.001,1.0,COMPLETE
48,0.15480667352676392,2025-05-15 11:57:25.743777,2025-05-15 11:59:30.777236,0 days 00:02:05.033459,16.0,0.1,40.0,0.001,3.0,COMPLETE
49,0.15081405639648438,2025-05-15 11:59:30.808278,2025-05-15 12:00:45.850786,0 days 00:01:15.042508,16.0,0.2,20.0,0.001,1.0,COMPLETE
50,0.14910580217838287,2025-05-15 12:00:45.883871,2025-05-15 12:01:55.985568,0 days 00:01:10.101697,32.0,0.3,160.0,0.001,1.0,COMPLETE
51,1.0555845499038696,2025-05-15 12:01:56.027360,2025-05-15 12:06:20.578161,0 days 00:04:24.550801,16.0,0.5,160.0,0.01,4.0,COMPLETE
